Tale,Characters,TaleOccurrenceFrequency,RelationFrequency
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Tür",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Reich, Wagen",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Kind, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Freude, Reich",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Zeit, Gesicht",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Stuhl, Türe",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Diener, Kopf",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Türe",1,17
1. Der Froschkönig oder der eiserne Heinrich .,"Herz, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Herz",1,7
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Kind",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wagen, Diener",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Kugel",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Stein, Kopf",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"König, Gesicht",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Tag",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"'nein, Frosch",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Weg, Herr",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Reich",1,18
1. Der Froschkönig oder der eiserne Heinrich .,"Pferd, Kopf",1,5
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, König",1,12
1. Der Froschkönig oder der eiserne Heinrich .,"Herz, Königssohn",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Kind",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Auge",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Bett",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"König, Fuß",1,5
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Vater",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, Pferd",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Kleid",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Königssohn, Herr",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Zeit",1,19
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Auge",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Herz",1,12
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Tisch",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Königstochter, Stein",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Freude, Heinrich",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Pferd",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Wald",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Brunnen",1,11
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, Heinrich",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Königstochter, Kopf",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Geselle, Mensch",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Königssohn",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Mensch",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Kopf",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Tag",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Zeit, Tochter",1,3
2. Katze und Maus in Gesellschaft .,"Katze, Maus",13,17
2. Katze und Maus in Gesellschaft .,"Gevatter, Maus",6,6
2. Katze und Maus in Gesellschaft .,"Maus, Name",6,6
2. Katze und Maus in Gesellschaft .,"Katze, Gevatter",5,5
2. Katze und Maus in Gesellschaft .,"Kind, Maus",5,5
2. Katze und Maus in Gesellschaft .,"Katze, Name",4,4
2. Katze und Maus in Gesellschaft .,"Katze, Haus",3,5
2. Katze und Maus in Gesellschaft .,"Haus, Maus",3,3
2. Katze und Maus in Gesellschaft .,"Katze, Fetttopf",3,3
2. Katze und Maus in Gesellschaft .,"Katze, Tag",3,6
2. Katze und Maus in Gesellschaft .,"Tag, Maus",3,4
2. Katze und Maus in Gesellschaft .,"Fetttopf, Maus",3,3
2. Katze und Maus in Gesellschaft .,"'er, Name",2,2
2. Katze und Maus in Gesellschaft .,"Katze, Kind",2,2
2. Katze und Maus in Gesellschaft .,"'er, Katze",2,4
2. Katze und Maus in Gesellschaft .,"Kind, Name",2,4
2. Katze und Maus in Gesellschaft .,"Gevatter, Kind",2,6
2. Katze und Maus in Gesellschaft .,"'er, Maus",2,2
2. Katze und Maus in Gesellschaft .,"Gevatter, Fetttopf",2,2
2. Katze und Maus in Gesellschaft .,"Katze, Mauschen",2,3
2. Katze und Maus in Gesellschaft .,"Katze, Kirche",2,2
2. Katze und Maus in Gesellschaft .,"Ring, Kirche",1,1
2. Katze und Maus in Gesellschaft .,"Gut, Haus",1,1
2. Katze und Maus in Gesellschaft .,"Kind, Kirche",1,6
2. Katze und Maus in Gesellschaft .,"Jahr, Pfote",1,1
2. Katze und Maus in Gesellschaft .,"Katze, Gott",1,1
2. Katze und Maus in Gesellschaft .,"Tag, Haus",1,16
2. Katze und Maus in Gesellschaft .,"Ding, Pfote",1,1
2. Katze und Maus in Gesellschaft .,"Katze, Gut",1,1
2. Katze und Maus in Gesellschaft .,"Ding, Kind",1,3
2. Katze und Maus in Gesellschaft .,"'er, Pate",1,2
2. Katze und Maus in Gesellschaft .,"Maus, Kirche",1,1
2. Katze und Maus in Gesellschaft .,"Haar, Pfote",1,1
2. Katze und Maus in Gesellschaft .,"Gevatter, Gott",1,2
2. Katze und Maus in Gesellschaft .,"Katze, Ring",1,1
2. Katze und Maus in Gesellschaft .,"Fetttopf, Tag",1,1
2. Katze und Maus in Gesellschaft .,"Katze, Ganzaus",1,1
2. Katze und Maus in Gesellschaft .,"Gevatter, Ding",1,1
2. Katze und Maus in Gesellschaft .,"Pate, Maus",1,1
2. Katze und Maus in Gesellschaft .,"Ding, Maus",1,1
2. Katze und Maus in Gesellschaft .,"Jahr, Kind",1,12
2. Katze und Maus in Gesellschaft .,"Mauschen, Maus",1,1
2. Katze und Maus in Gesellschaft .,"Ring, Maus",1,1
2. Katze und Maus in Gesellschaft .,"Gevatter, Pfote",1,1
2. Katze und Maus in Gesellschaft .,"Maus, Pfote",1,1
2. Katze und Maus in Gesellschaft .,"Ganzaus, Kopf",1,1
2. Katze und Maus in Gesellschaft .,"Fetttopf, Haus",1,1
2. Katze und Maus in Gesellschaft .,"Kind, Pfote",1,3
2. Katze und Maus in Gesellschaft .,"Ding, Haar",1,3
2. Katze und Maus in Gesellschaft .,"Katze, Pate",1,1
2. Katze und Maus in Gesellschaft .,"Fetttopf, Kirche",1,1
2. Katze und Maus in Gesellschaft .,"Nacht, Haus",1,9
2. Katze und Maus in Gesellschaft .,"Gott, Name",1,1
2. Katze und Maus in Gesellschaft .,"Gott, Haus",1,7
2. Katze und Maus in Gesellschaft .,"Gevatter, Name",1,1
2. Katze und Maus in Gesellschaft .,"Weg, Gevatter",1,1
2. Katze und Maus in Gesellschaft .,"Gevatter, Haus",1,4
2. Katze und Maus in Gesellschaft .,"Pate, Name",1,1
2. Katze und Maus in Gesellschaft .,"Gevatter, Kirche",1,1
2. Katze und Maus in Gesellschaft .,"Fetttopf, Kind",1,1
2. Katze und Maus in Gesellschaft .,"Haar, Jahr",1,1
2. Katze und Maus in Gesellschaft .,"Ring, Fetttopf",1,1
2. Katze und Maus in Gesellschaft .,"Gut, Maus",1,1
2. Katze und Maus in Gesellschaft .,"Ganzaus, Name",1,1
2. Katze und Maus in Gesellschaft .,"Haus, Name",1,2
2. Katze und Maus in Gesellschaft .,"Ring, Kind",1,2
2. Katze und Maus in Gesellschaft .,"Gott, Maus",1,1
2. Katze und Maus in Gesellschaft .,"Haar, Kind",1,4
2. Katze und Maus in Gesellschaft .,"Ding, Jahr",1,1
2. Katze und Maus in Gesellschaft .,"Jahr, Maus",1,2
2. Katze und Maus in Gesellschaft .,"Gevatter, Gut",1,1
