Tale,Categories,TaleOccurrenceFrequency,CategoryRelationFrequency
15. Hänsel und Grethel .,"Körperteil, Verschiedenes",1,23
15. Hänsel und Grethel .,"Fabelwesen, Beziehung",1,14
15. Hänsel und Grethel .,"Tier, Weiblich",1,14
15. Hänsel und Grethel .,"Männlich, Gewerbebezeichnung",1,36
15. Hänsel und Grethel .,"Gewerbebezeichnung, Beziehung",1,37
15. Hänsel und Grethel .,"Fabelwesen, Wertgegenstände",1,7
16. Die drei Schlangenblätter .,"Weiblich, Beziehung",2,176
16. Die drei Schlangenblätter .,"Adel, Verschiedenes",2,67
16. Die drei Schlangenblätter .,"Adel, Weiblich",1,105
16. Die drei Schlangenblätter .,"Adel, Beziehung",1,123
16. Die drei Schlangenblätter .,"Adel, Körperteil",1,61
16. Die drei Schlangenblätter .,"Weiblich, Körperteil",1,41
16. Die drei Schlangenblätter .,"Adel, Nahrung",1,10
16. Die drei Schlangenblätter .,"Männlich, Gewerbebezeichnung",1,36
16. Die drei Schlangenblätter .,"Gewerbebezeichnung, Verschiedenes",1,12
16. Die drei Schlangenblätter .,"Männlich, Verschiedenes",1,32
16. Die drei Schlangenblätter .,"Orte, Verschiedenes",1,33
16. Die drei Schlangenblätter .,"Adel, Gewerbebezeichnung",1,59
16. Die drei Schlangenblätter .,"Männlich, Orte",1,41
16. Die drei Schlangenblätter .,"Adel, Männlich",1,72
16. Die drei Schlangenblätter .,"Adel, Orte",1,61
17. Die weiße Schlange .,"Adel, Gewerbebezeichnung",4,59
17. Die weiße Schlange .,"Adel, Männlich",4,72
17. Die weiße Schlange .,"Tier, Männlich",2,39
17. Die weiße Schlange .,"Tier, Verschiedenes",1,11
17. Die weiße Schlange .,"Adel, Tier",1,16
17. Die weiße Schlange .,"Tier, Orte",1,21
17. Die weiße Schlange .,"Gewerbebezeichnung, Körperteil",1,19
17. Die weiße Schlange .,"Adel, Körperteil",1,61
17. Die weiße Schlange .,"Männlich, Körperteil",1,30
17. Die weiße Schlange .,"Männlich, Orte",1,41
17. Die weiße Schlange .,"Gewerbebezeichnung, Verschiedenes",1,12
17. Die weiße Schlange .,"Gewerbebezeichnung, Orte",1,14
17. Die weiße Schlange .,"Körperteil, Verschiedenes",1,23
17. Die weiße Schlange .,"Adel, Orte",1,61
"18. Strohhalm , Kohle und Bohne .","Nahrung, Verschiedenes",2,6
"18. Strohhalm , Kohle und Bohne .","Weiblich, Nahrung",1,13
"18. Strohhalm , Kohle und Bohne .","Beziehung, Nahrung",1,9
"18. Strohhalm , Kohle und Bohne .","Männlich, Beziehung",1,185
"18. Strohhalm , Kohle und Bohne .","Männlich, Nahrung",1,10
"18. Strohhalm , Kohle und Bohne .","Beziehung, Verschiedenes",1,54
"18. Strohhalm , Kohle und Bohne .","Männlich, Verschiedenes",1,32
19. Von dem Fischer un syner Fru .,"Adel, Weiblich",9,105
19. Von dem Fischer un syner Fru .,"Weiblich, Orte",7,65
19. Von dem Fischer un syner Fru .,"Weiblich, Körperteil",4,41
19. Von dem Fischer un syner Fru .,"Weiblich, Wertgegenstände",3,20
19. Von dem Fischer un syner Fru .,"Wertgegenstände, Körperteil",2,14
19. Von dem Fischer un syner Fru .,"Adel, Wertgegenstände",1,28
19. Von dem Fischer un syner Fru .,"Weiblich, Verschiedenes",1,35
19. Von dem Fischer un syner Fru .,"Fabelwesen, Weiblich",1,16
19. Von dem Fischer un syner Fru .,"Fabelwesen, Wertgegenstände",1,7
19. Von dem Fischer un syner Fru .,"Adel, Verschiedenes",1,67
19. Von dem Fischer un syner Fru .,"Fabelwesen, Körperteil",1,9
20. Das tapfere Schneiderlein .,"Fabelwesen, Orte",5,15
20. Das tapfere Schneiderlein .,"Weiblich, Beziehung",3,176
20. Das tapfere Schneiderlein .,"Adel, Männlich",3,72
20. Das tapfere Schneiderlein .,"Adel, Gewerbebezeichnung",2,59
20. Das tapfere Schneiderlein .,"Fabelwesen, Körperteil",2,9
20. Das tapfere Schneiderlein .,"Adel, Weiblich",2,105
20. Das tapfere Schneiderlein .,"Adel, Beziehung",1,123
20. Das tapfere Schneiderlein .,"Adel, Verschiedenes",1,67
20. Das tapfere Schneiderlein .,"Orte, Körperteil",1,34
20. Das tapfere Schneiderlein .,"Männlich, Orte",1,41
20. Das tapfere Schneiderlein .,"Weiblich, Orte",1,65
20. Das tapfere Schneiderlein .,"Weiblich, Verschiedenes",1,35
20. Das tapfere Schneiderlein .,"Adel, Orte",1,61
20. Das tapfere Schneiderlein .,"Adel, Fabelwesen",1,6
20. Das tapfere Schneiderlein .,"Fabelwesen, Beziehung",1,14
20. Das tapfere Schneiderlein .,"Fabelwesen, Weiblich",1,16
20. Das tapfere Schneiderlein .,"Männlich, Gewerbebezeichnung",1,36
20. Das tapfere Schneiderlein .,"Gewerbebezeichnung, Orte",1,14
20. Das tapfere Schneiderlein .,"Weiblich, Gewerbebezeichnung",1,21
20. Das tapfere Schneiderlein .,"Männlich, Verschiedenes",1,32
20. Das tapfere Schneiderlein .,"Männlich, Weiblich",1,33
21. Aschenbuttel .,"Adel, Körperteil",6,61
21. Aschenbuttel .,"Tier, Verschiedenes",4,11
21. Aschenbuttel .,"Weiblich, Beziehung",4,176
21. Aschenbuttel .,"Eigenname, Verschiedenes",3,11
21. Aschenbuttel .,"Adel, Eigenname",2,31
21. Aschenbuttel .,"Weiblich, Körperteil",1,41
21. Aschenbuttel .,"Beziehung, Körperteil",1,53
21. Aschenbuttel .,"Eigenname, Beziehung",1,12
21. Aschenbuttel .,"Weiblich, Eigenname",1,21
21. Aschenbuttel .,"Wertgegenstände, Eigenname",1,4
22. Das Räthsel .,"Adel, Gewerbebezeichnung",6,59
22. Das Räthsel .,"Männlich, Gewerbebezeichnung",3,36
22. Das Räthsel .,"Tier, Gewerbebezeichnung",3,10
22. Das Räthsel .,"Gewerbebezeichnung, Beziehung",2,37
22. Das Räthsel .,"Fabelwesen, Gewerbebezeichnung",2,3
22. Das Räthsel .,"Adel, Männlich",2,72
22. Das Räthsel .,"Weiblich, Beziehung",2,176
22. Das Räthsel .,"Adel, Beziehung",1,123
22. Das Räthsel .,"Gewerbebezeichnung, Orte",1,14
22. Das Räthsel .,"Weiblich, Gewerbebezeichnung",1,21
22. Das Räthsel .,"Tier, Fabelwesen",1,2
22. Das Räthsel .,"Gewerbebezeichnung, Wertgegenstände",1,9
22. Das Räthsel .,"Adel, Wertgegenstände",1,28
22. Das Räthsel .,"Männlich, Wertgegenstände",1,32
22. Das Räthsel .,"Adel, Orte",1,61
22. Das Räthsel .,"Adel, Fabelwesen",1,6
24. Frau Holle .,"Weiblich, Eigenname",13,21
24. Frau Holle .,"Weiblich, Beziehung",4,176
24. Frau Holle .,"Weiblich, Orte",2,65
24. Frau Holle .,"Wertgegenstände, Eigenname",2,4
24. Frau Holle .,"Orte, Eigenname",2,9
24. Frau Holle .,"Weiblich, Wertgegenstände",2,20
24. Frau Holle .,"Eigenname, Körperteil",1,12
24. Frau Holle .,"Orte, Körperteil",1,34
24. Frau Holle .,"Weiblich, Körperteil",1,41
24. Frau Holle .,"Eigenname, Beziehung",1,12
25. Die sieben Raben .,"Männlich, Beziehung",7,185
25. Die sieben Raben .,"Tier, Männlich",3,39
25. Die sieben Raben .,"Weiblich, Beziehung",3,176
25. Die sieben Raben .,"Tier, Beziehung",2,11
25. Die sieben Raben .,"Orte, Beziehung",2,82
25. Die sieben Raben .,"Männlich, Orte",1,41
25. Die sieben Raben .,"Weiblich, Orte",1,65
25. Die sieben Raben .,"Männlich, Verschiedenes",1,32
25. Die sieben Raben .,"Tier, Weiblich",1,14
25. Die sieben Raben .,"Männlich, Weiblich",1,33
25. Die sieben Raben .,"Beziehung, Verschiedenes",1,54
26. Rothkäppchen .,"Orte, Eigenname",2,9
26. Rothkäppchen .,"Orte, Nahrung",2,16
26. Rothkäppchen .,"Eigenname, Verschiedenes",1,11
26. Rothkäppchen .,"Eigenname, Körperteil",1,12
26. Rothkäppchen .,"Eigenname, Nahrung",1,3
26. Rothkäppchen .,"Eigenname, Beziehung",1,12
26. Rothkäppchen .,"Orte, Verschiedenes",1,33
27. Die Bremer Stadtmusikanten .,"Gewerbebezeichnung, Orte",3,14
27. Die Bremer Stadtmusikanten .,"Männlich, Gewerbebezeichnung",2,36
27. Die Bremer Stadtmusikanten .,"Männlich, Orte",2,41
27. Die Bremer Stadtmusikanten .,"Fabelwesen, Körperteil",1,9
27. Die Bremer Stadtmusikanten .,"Weiblich, Beziehung",1,176
