tales	similarity (overlap of top 10 nouns)	nouns
9. Die zwölf Brüder ., 15. Hänsel und Grethel .	2	 Wald,  Kind
9. Die zwölf Brüder ., 20. Das tapfere Schneiderlein .	2	 Wald,  König
9. Die zwölf Brüder ., 21. Aschenbuttel .	2	 Mädchen,  Mutter
9. Die zwölf Brüder ., 25. Die sieben Raben .	2	 Mädchen,  Kind
9. Die zwölf Brüder ., 40. Der Räuberbräutigam .	2	 Mädchen,  Wald
9. Die zwölf Brüder ., 43. Frau Trude .	2	 Mädchen,  Kind
9. Die zwölf Brüder ., 48. Der alte Sultan .	2	 Wald,  Kind
9. Die zwölf Brüder ., 50. Dornröschen .	2	 Jahr,  Kind
9. Die zwölf Brüder ., 54. Der Ranzen , das Hütlein und das Hörnlein .	2	 Wald,  König
9. Die zwölf Brüder ., 55. Rumpelstilzchen .	2	 Mädchen,  König
9. Die zwölf Brüder ., 56. Der Liebste Roland .	2	 Mädchen,  Kind
9. Die zwölf Brüder ., 64. Die goldene Gans .	2	 König,  Wald
9. Die zwölf Brüder ., full corpus	2	 Wald,  Kind
10. Das Lumpengesindel ., 58. Der Hund und der Sperling .	2	 Wagen,  Kopf
11. Brüderchen und Schwesterchen ., 15. Hänsel und Grethel .	2	 Wald,  Kind
11. Brüderchen und Schwesterchen ., 28. Der singende Knochen .	2	 Wald, König
11. Brüderchen und Schwesterchen ., 48. Der alte Sultan .	2	 Wald,  Kind
11. Brüderchen und Schwesterchen ., 52. König Drosselbart .	2	 Hand, König
11. Brüderchen und Schwesterchen ., 53. Sneewittchen .	2	 Königin,  Kind
11. Brüderchen und Schwesterchen ., 55. Rumpelstilzchen .	2	 Königin,  Nacht
11. Brüderchen und Schwesterchen ., 67. Die zwölf Jäger .	2	 Jäger, König
11. Brüderchen und Schwesterchen ., 79. Die Wassernixe .	2	 Schwesterchen,  Bruderchen
12. Rapunzel ., 13. Die drei Männlein im Walde .	2	 Mann,  Frau
12. Rapunzel ., 15. Hänsel und Grethel .	2	 Frau,  Kind
12. Rapunzel ., 19. Von dem Fischer un syner Fru .	2	 Mann,  Frau
12. Rapunzel ., 20. Das tapfere Schneiderlein .	2	 Mann,  Frau
12. Rapunzel ., 29. Der Teufel mit den drei goldenen Haaren .	2	 Haar,  Frau
12. Rapunzel ., 31. Das Mädchen ohne Hände .	2	 Frau,  Kind
12. Rapunzel ., 39. Die Wichtelmänner .	2	 Mann,  Frau
12. Rapunzel ., 42. Der Herr Gevatter .	2	 Mann,  Kind
12. Rapunzel ., 44. Der Gevatter Tod .	2	 Mann,  Kind
12. Rapunzel ., 48. Der alte Sultan .	2	 Frau,  Kind
12. Rapunzel ., 49. Die sechs Schwäne .	2	 Tag,  Kind
12. Rapunzel ., 52. König Drosselbart .	2	 Mann,  Frau
12. Rapunzel ., 76. Die Nelke .	2	 Turm,  Kind
12. Rapunzel ., 78. Der alte Großvater und der Enkel .	2	 Mann,  Frau
13. Die drei Männlein im Walde ., 16. Die drei Schlangenblätter .	2	 Mann,  Frau
13. Die drei Männlein im Walde ., 24. Frau Holle .	2	 Haus,  Mädchen
13. Die drei Männlein im Walde ., 26. Rothkäppchen .	2	 Haus,  Wald
13. Die drei Männlein im Walde ., 30. Läuschen und Flöhchen .	2	 Mädchen,  Wasser
13. Die drei Männlein im Walde ., 34. Die kluge Else .	2	 Mann,  Frau
13. Die drei Männlein im Walde ., 37. Daumesdick .	2	 Mann,  Frau
13. Die drei Männlein im Walde ., 39. Die Wichtelmänner .	2	 Mann,  Frau
13. Die drei Männlein im Walde ., 42. Der Herr Gevatter .	2	 Mann,  Wasser
13. Die drei Männlein im Walde ., 48. Der alte Sultan .	2	 Wald,  Frau
13. Die drei Männlein im Walde ., 49. Die sechs Schwäne .	2	 Mädchen,  Wald
13. Die drei Männlein im Walde ., 52. König Drosselbart .	2	 Mann,  Frau
13. Die drei Männlein im Walde ., 54. Der Ranzen , das Hütlein und das Hörnlein .	2	 Wald,  König
13. Die drei Männlein im Walde ., 55. Rumpelstilzchen .	2	 Mädchen,  König
13. Die drei Männlein im Walde ., 59. Der Frieder und das Catherlieschen .	2	 Haus,  Mann
13. Die drei Männlein im Walde ., 61. Das Bürle .	2	 Wasser,  Frau
13. Die drei Männlein im Walde ., 78. Der alte Großvater und der Enkel .	2	 Mann,  Frau
14. Die drei Spinnerinnen ., 32. Der gescheidte Hans .	2	 Tag,  Mutter
14. Die drei Spinnerinnen ., 49. Die sechs Schwäne .	2	 Königin,  Tag
14. Die drei Spinnerinnen ., 50. Dornröschen .	2	 Königin,  Tag
14. Die drei Spinnerinnen ., 55. Rumpelstilzchen .	2	 Kammer,  Königin
15. Hänsel und Grethel ., 20. Das tapfere Schneiderlein .	2	 Wald,  Frau
15. Hänsel und Grethel ., 25. Die sieben Raben .	2	 Vater,  Kind
15. Hänsel und Grethel ., 27. Die Bremer Stadtmusikanten .	2	 Haus,  Weg
15. Hänsel und Grethel ., 31. Das Mädchen ohne Hände .	2	 Frau,  Kind
15. Hänsel und Grethel ., 34. Die kluge Else .	2	 Frau,  Kind
15. Hänsel und Grethel ., 43. Frau Trude .	2	 Haus,  Kind
15. Hänsel und Grethel ., 45. Daumerlings Wanderschaft .	2	 Vater,  Frau
15. Hänsel und Grethel ., 51. Fundevogel .	2	 Haus,  Wald
15. Hänsel und Grethel ., 56. Der Liebste Roland .	2	 Alte,  Kind
15. Hänsel und Grethel ., 78. Der alte Großvater und der Enkel .	2	 Vater,  Frau
16. Die drei Schlangenblätter ., 19. Von dem Fischer un syner Fru .	2	 Mann,  Frau
16. Die drei Schlangenblätter ., 20. Das tapfere Schneiderlein .	2	 Mann,  Frau
16. Die drei Schlangenblätter ., 31. Das Mädchen ohne Hände .	2	 Frau, König
16. Die drei Schlangenblätter ., 34. Die kluge Else .	2	 Mann,  Frau
16. Die drei Schlangenblätter ., 39. Die Wichtelmänner .	2	 Mann,  Frau
16. Die drei Schlangenblätter ., 43. Frau Trude .	2	 Mann,  Tag
16. Die drei Schlangenblätter ., 45. Daumerlings Wanderschaft .	2	 Vater,  Frau
16. Die drei Schlangenblätter ., 49. Die sechs Schwäne .	2	 Tag, König
16. Die drei Schlangenblätter ., 50. Dornröschen .	2	 Tag, König
16. Die drei Schlangenblätter ., 63. Die drei Federn .	2	König,  Frau
16. Die drei Schlangenblätter ., 65. Allerleirauh .	2	 Vater, König
16. Die drei Schlangenblätter ., 67. Die zwölf Jäger .	2	 Vater, König
16. Die drei Schlangenblätter ., 71. Sechse kommen durch die ganze Welt .	2	 Mann, König
16. Die drei Schlangenblätter ., 76. Die Nelke .	2	 Leben, König
16. Die drei Schlangenblätter ., 85. Die Goldkinder .	2	 Vater,  Frau
17. Die weiße Schlange ., 22. Das Räthsel .	2	Diener,  Königstochter
19. Von dem Fischer un syner Fru ., 29. Der Teufel mit den drei goldenen Haaren .	2	 König,  Frau
19. Von dem Fischer un syner Fru ., 34. Die kluge Else .	2	 Mann,  Frau
19. Von dem Fischer un syner Fru ., 37. Daumesdick .	2	 Mann,  Frau
19. Von dem Fischer un syner Fru ., 39. Die Wichtelmänner .	2	 Mann,  Frau
19. Von dem Fischer un syner Fru ., 52. König Drosselbart .	2	 Mann,  Frau
19. Von dem Fischer un syner Fru ., 64. Die goldene Gans .	2	 Mann,  König
19. Von dem Fischer un syner Fru ., 78. Der alte Großvater und der Enkel .	2	 Mann,  Frau
19. Von dem Fischer un syner Fru ., full corpus	2	 Mann,  Frau
20. Das tapfere Schneiderlein ., 29. Der Teufel mit den drei goldenen Haaren .	2	 König,  Frau
20. Das tapfere Schneiderlein ., 34. Die kluge Else .	2	 Mann,  Frau
20. Das tapfere Schneiderlein ., 37. Daumesdick .	2	 Mann,  Frau
20. Das tapfere Schneiderlein ., 39. Die Wichtelmänner .	2	 Mann,  Frau
20. Das tapfere Schneiderlein ., 48. Der alte Sultan .	2	 Wald,  Frau
20. Das tapfere Schneiderlein ., 52. König Drosselbart .	2	 Mann,  Frau
20. Das tapfere Schneiderlein ., 54. Der Ranzen , das Hütlein und das Hörnlein .	2	 Wald,  König
20. Das tapfere Schneiderlein ., 75. Der Fuchs und die Katze .	2	 Baum,  Wald
20. Das tapfere Schneiderlein ., 78. Der alte Großvater und der Enkel .	2	 Mann,  Frau
20. Das tapfere Schneiderlein ., 85. Die Goldkinder .	2	 Wald,  Frau
21. Aschenbuttel ., 22. Das Räthsel .	2	 Mädchen,  Königssohn
21. Aschenbuttel ., 67. Die zwölf Jäger .	2	 Mädchen,  Braut
22. Das Räthsel ., 50. Dornröschen .	2	 Königstochter,  Königssohn
22. Das Räthsel ., 55. Rumpelstilzchen .	2	 Mädchen,  Nacht
22. Das Räthsel ., 67. Die zwölf Jäger .	2	 Mädchen,  Königstochter
22. Das Räthsel ., 71. Sechse kommen durch die ganze Welt .	2	 Königstochter,  Herr
23. Von dem Mäuschen , Vögelchen und der Bratwurst ., 69. Jorinde und Joringel .	2	 Vogel,  Tag
24. Frau Holle ., 26. Rothkäppchen .	2	 Haus,  Bett
24. Frau Holle ., 40. Der Räuberbräutigam .	2	 Haus,  Mädchen
24. Frau Holle ., 55. Rumpelstilzchen .	2	 Mädchen,  Gold
24. Frau Holle ., 56. Der Liebste Roland .	2	 Mädchen,  Bett
24. Frau Holle ., 79. Die Wassernixe .	2	 Mädchen,  Brunnen
25. Die sieben Raben ., 37. Daumesdick .	2	 Vater,  Kind
25. Die sieben Raben ., 44. Der Gevatter Tod .	2	 Welt,  Kind
25. Die sieben Raben ., 56. Der Liebste Roland .	2	 Mädchen,  Kind
25. Die sieben Raben ., 67. Die zwölf Jäger .	2	 Mädchen,  Vater
26. Rothkäppchen ., 27. Die Bremer Stadtmusikanten .	2	 Haus,  Weg
26. Rothkäppchen ., 43. Frau Trude .	2	 Haus,  Tag
26. Rothkäppchen ., 51. Fundevogel .	2	 Haus,  Wald
26. Rothkäppchen ., 54. Der Ranzen , das Hütlein und das Hörnlein .	2	 Wald,  Tag
26. Rothkäppchen ., 59. Der Frieder und das Catherlieschen .	2	 Haus,  Türe
26. Rothkäppchen ., 69. Jorinde und Joringel .	2	 Wald,  Tag
26. Rothkäppchen ., 85. Die Goldkinder .	2	 Haus,  Wald
27. Die Bremer Stadtmusikanten ., 41. Herr Korbes .	2	 Haus,  Katze
27. Die Bremer Stadtmusikanten ., 48. Der alte Sultan .	2	 Hund,  Katze
27. Die Bremer Stadtmusikanten ., 75. Der Fuchs und die Katze .	2	 Hund,  Katze
28. Der singende Knochen ., 48. Der alte Sultan .	2	 Wald,  Schwein
28. Der singende Knochen ., 53. Sneewittchen .	2	 Herz,  Land
28. Der singende Knochen ., 54. Der Ranzen , das Hütlein und das Hörnlein .	2	 Bruder,  Wald
28. Der singende Knochen ., 60. Die zwei Brüder .	2	 Bruder,  Tier
28. Der singende Knochen ., 62. Die Bienenkönigin .	2	 Bruder,  Tier
28. Der singende Knochen ., 63. Die drei Federn .	2	 Bruder, König
28. Der singende Knochen ., 64. Die goldene Gans .	2	 Männlein,  Wald
28. Der singende Knochen ., 76. Die Nelke .	2	 Herz, König
29. Der Teufel mit den drei goldenen Haaren ., 31. Das Mädchen ohne Hände .	2	 Frau,  Brief
29. Der Teufel mit den drei goldenen Haaren ., 52. König Drosselbart .	2	 Tochter,  Frau
29. Der Teufel mit den drei goldenen Haaren ., 61. Das Bürle .	2	 Wasser,  Frau
31. Das Mädchen ohne Hände ., 34. Die kluge Else .	2	 Frau,  Kind
31. Das Mädchen ohne Hände ., 37. Daumesdick .	2	 Frau,  Kind
31. Das Mädchen ohne Hände ., 48. Der alte Sultan .	2	 Frau,  Kind
31. Das Mädchen ohne Hände ., 53. Sneewittchen .	2	 Königin,  Kind
31. Das Mädchen ohne Hände ., 61. Das Bürle .	2	 Müller,  Frau
31. Das Mädchen ohne Hände ., 63. Die drei Federn .	2	König,  Frau
