tales	similarity (overlap of top 10 nouns)	nouns
13. Die drei Männlein im Walde ., 160. Räthselmärchen .	3	 Frau,  Haus,  Mann
13. Die drei Männlein im Walde ., 179. Die Gänsehirtin am Brunnen .	3	 Haus,  König,  Mädchen
14. Die drei Spinnerinnen ., 154. Der gestohlene Heller .	3	 Mutter,  Kammer,  Tag
14. Die drei Spinnerinnen ., 156. Die Schlickerlinge .	3	Mädchen,  Bräutigam,  Flachs
15. Hänsel und Grethel ., 16. Die drei Schlangenblätter .	3	 Brot,  Frau,  Vater
15. Hänsel und Grethel ., 26. Rothkäppchen .	3	 Haus,  Wald,  Weg
15. Hänsel und Grethel ., 37. Daumesdick .	3	 Kind,  Frau,  Vater
15. Hänsel und Grethel ., 48. Der alte Sultan .	3	 Wald,  Frau,  Kind
15. Hänsel und Grethel ., 108.	3	 Haus,  Weg,  Vater
15. Hänsel und Grethel ., 145. Der undankbare Sohn .	3	 Alte,  Frau,  Vater
15. Hänsel und Grethel ., 153. Die Sternthaler .	3	 Brot,  Kind,  Vater
15. Hänsel und Grethel ., 199. Der Stiefel von Büffelleder .	3	 Alte,  Wald,  Weg
16. Die drei Schlangenblätter ., 37. Daumesdick .	3	 Frau,  Mann,  Vater
16. Die drei Schlangenblätter ., 52. König Drosselbart .	3	 Frau, König,  Mann
16. Die drei Schlangenblätter ., 78. Der alte Großvater und der Enkel .	3	 Mann,  Frau,  Vater
16. Die drei Schlangenblätter ., 97. Das Wasser des Lebens .	3	 Leben,  Brot,  Vater
16. Die drei Schlangenblätter ., 129. Die vier kunstreichen Brüder .	3	 Schiff,  Mann,  Vater
16. Die drei Schlangenblätter ., 136. Der Eisenhans .	3	 Tag, König,  Mann
16. Die drei Schlangenblätter ., 145. Der undankbare Sohn .	3	 Frau,  Mann,  Vater
16. Die drei Schlangenblätter ., 154. Der gestohlene Heller .	3	 Tag,  Frau,  Vater
16. Die drei Schlangenblätter ., 160. Räthselmärchen .	3	 Frau,  Mann,  Tag
17. Die weiße Schlange ., 57. Der goldene Vogel .	3	 Pferd,  König,  Jüngling
19. Von dem Fischer un syner Fru ., 20. Das tapfere Schneiderlein .	3	 Frau,  Mann,  König
19. Von dem Fischer un syner Fru ., 91. Dat Erdmänneken .	3	 König,  He, De
19. Von dem Fischer un syner Fru ., 96. De drei Vügelkens .	3	De,  Frau,  König
19. Von dem Fischer un syner Fru ., 187. Der Hase und der Jgel .	3	De,  He,  Wöör
19. Von dem Fischer un syner Fru ., 196. Oll Rinkrank .	3	 König,  He, De
20. Das tapfere Schneiderlein ., full corpus	3	 Frau,  Wald,  Mann
22. Das Räthsel ., 127. Der Eisenofen .	3	 Königssohn,  Königstochter,  Nacht
24. Frau Holle ., 43. Frau Trude .	3	 Haus,  Mädchen, Frau
25. Die sieben Raben ., 43. Frau Trude .	3	 Kind,  Mädchen,  Eltern
25. Die sieben Raben ., 49. Die sechs Schwäne .	3	 Bruder,  Mädchen,  Kind
25. Die sieben Raben ., full corpus	3	 Kind,  Mädchen,  Vater
26. Rothkäppchen ., 40. Der Räuberbräutigam .	3	 Haus,  Wald,  Weg
26. Rothkäppchen ., 49. Die sechs Schwäne .	3	 Tag,  Wald,  Weg
26. Rothkäppchen ., 73. Der Wolf und der Fuchs .	3	 Tag,  Wald,  Wolf
26. Rothkäppchen ., 164. Der faule Heinz .	3	 Tag,  Haus,  Bett
26. Rothkäppchen ., 199. Der Stiefel von Büffelleder .	3	 Tag,  Wald,  Weg
