Characters,CharacterFrequency
"Wein, Herr",6
"Mädchen, Hand",6
"Hand, Königstochter",6
"Tag, Herr",6
"Herz, Stein",6
"Hochzeit, Königin",6
"Braut, Hochzeit",6
"Freude, Zeit",6
"Freude, Königin",6
"Zeit, Königin",6
"Vater, Sprache",6
"Bauer, Tag",6
"König, Haus",6
"Wald, Zeit",6
"Freude, Herz",6
"Freude, Mann",6
"Herz, Tier",6
"Wald, Sohn",6
"Bruder, Schloß",6
"Wald, Hauschen",6
"Wald, Vogel",6
"Mutter, Herz",6
"Bruder, Herz",6
"'nein, Bruder",6
"Welt, Alte",6
"Wagen, Hahnchen",6
"Wald, Schwesterchen",6
"Welt, Herz",6
"Herz, Tag",6
"Tier, Wolf",6
"Mädchen, Morgen",6
"Mädchen, Mann",6
"Königin, Schloß",6
"Kind, Jäger",6
"Welt, Zeit",6
"Alte, Tochter",6
"Frau, Abend",6
"Wald, Feuer",6
"Frau, Rapunzel",6
"Rapunzel, Haar",6
"Mann, Kopf",6
"Wolf, Herr",6
"Finger, Ring",6
"Keller, Wein",6
"Gevatter, Herr",6
"Kranke, Tod",6
"Ei, Mann",6
"Fisch, Mann",6
"Arzt, Tod",6
"Geld, Kreuzer",6
"De, Kind",6
"Appell, Ehre",6
"Vogel, Ik",6
"Königin, Land",6
"Stall, Pferd",6
"Fundevogel, Lenchen",6
"Vater, Reich",6
"Königin, Schneewittchen",6
"Berg, Schneewittchen",6
"Fuchs, Tag",6
"Mädchen, Liebste",6
"Vogel, Pferd",6
"Vogel, Jungfrau",6
"Sperling, Pferd",6
"'nein, Sprache",6
"Türe, Friedearche",6
"Hase, Jäger",6
"Wirt, Königstochter",6
"Jungfrau, Jäger",6
"Wirt, Brot",6
"Brot, Jäger",6
"Schloß, Jäger",6
"Sprache, Bürle",6
"Bruder, Dümmling",6
"Dümmling, Mann",6
"König, Suppe",6
"Coal, Häsichen",6
"Häsichen, De",6
"Häsichen, Seits",6
"Häsichen, Mäken",6
"Seits, Mäken",6
"Mensch, Wolf",6
"Grethel, Herr",6
"Grethel, Gast",6
"Heil., 'nein",6
"Tochter, Gemahlin",6
"Jäger, Tochter",6
"Schneider, Herr",6
"Welt, Herr",6
"Gott, Himmel",6
"Tag, Eltern",6
"Schuh, Fuß",6
"Tier, Herr",6
"Mädchen, Gold",6
"Weg, Großmutter",6
"Jahr, Mann",6
"Leute, Haus",6
"Streiche, Riese",5
"Schneider, Baum",5
"Schneiderlein, König",5
"Tier, Baum",5
"Königin, Herr",5
"Bett, Türe",5
"Morgen, Arbeit",5
"Mädchen, Stiefmutter",5
"Vogel, Kleid",5
"Hochzeit, Kleid",5
"Königssohn, Diener",5
"Magd, Herr",5
"Vöglein, Holz",5
"Spule, Brunnen",5
"Bett, Tag",5
"Leute, Tag",5
"Wolf, Haus",5
"Wolf, Türe",5
"Bett, Wolf",5
"Weg, Wolf",5
"Hund, Herr",5
"Hahn, Katze",5
"Hahn, Hund",5
"Milch, Kuh",5
"Sprache, Wolf",5
"Füchsin, Katze",5
"Hund, Wolf",5
"Gold, Berg",5
"Korbes, Herr",5
"Kranke, Fuß",5
"Ei, Herr",5
"Weg, Sohn",5
"Fuchs, Huhn",5
"Gold, Haus",5
"De, Tochter",5
"Vogel, Feder",5
"Ei, Tier",5
"Weg, Schloß",5
"Wasser, Königstochter",5
"Erde, Königstochter",5
"König, Frosch",5
"Wasser, Kind",5
"Tür, Kind",5
"König, Fuß",5
"Pferd, Kopf",5
"'nein, Herz",5
"Katze, Haus",5
"Katze, Gevatter",5
"Kind, Maus",5
"Wald, Jahr",5
"Mutter, Holz",5
"Jungfrau, Himmel",5
"Kind, Himmel",5
"Maria, Himmel",5
"Mädchen, Türe",5
"Tür, Jungfrau",5
"Tür, Maria",5
"Jungfrau, Herz",5
"Hand, Herz",5
"Weg, Baum",5
"Welt, Sohn",5
"Königin, Sohn",5
"Morgen, Königin",5
"Hand, Jungfrau",5
"Hand, Königin",5
"Erde, Kind",5
"Herz, Königin",5
"Kind, Leben",5
"Vater, Weg",5
"Feuer, Abend",5
"Vater, Brot",5
"Vater, Gott",5
"Bruder, Ei",5
"Treppe, Junge",5
"Nacht, Junge",5
"Mann, Junge",5
"Welt, Mensch",5
"Welt, Tochter",5
"Mir_Es, Mensch",5
"Nacht, Abend",5
"Baum, Tag",5
"'nein, Mann",5
"König, Junge",5
"Feuer, Schloß",5
"Feuer, Nacht",5
"Katze, Feuer",5
"Bett, Ecke",5
"Bett, Auge",5
"Erde, Mann",5
"Feuer, Hand",5
"König, Geld",5
"Kind, Wolf",5
"Wolf, Tag",5
