Characters,TaleDistributionFrequency
"Mädchen, Finger",3
"Land, Baum",3
"Erde, Jungfrau",3
"Kind, Himmel",3
"Tür, Türe",3
"Hand, Schloß",3
"Kind, Türe",3
"Arbeit, Holz",3
"Hand, Türe",3
"Jungfrau, Jahr",3
"Stück, Kleid",3
"Mädchen, Erde",3
"Morgen, Königin",3
"Kind, Töchterlein",3
"Feuer, Tod",3
"Schlüssel, Schloß",3
"Mund, Kind",3
"Weg, Land",3
"Schlüssel, Türe",3
"Mädchen, Jungfrau",3
"Feuer, Licht",3
"Sprache, Bett",3
"Frau, Holz",3
"Hand, Jungfrau",3
"Geist, König",3
"Wasser, Fisch",3
"Weg, Feuer",3
"Mir_Es, Leben",3
"Vater, Junge",3
"Weg, Nacht",3
"Ding, Haus",3
"Ecke, Mann",3
"Hund, Ecke",3
"Hochzeit, Gemahlin",3
"Stube, Auge",3
"Schloß, Tag",3
"Brot, Haus",3
"Vater, Brot",3
"'nein, König",3
"Wirt, Schloß",3
"Vater, Nacht",3
"Schloß, Auge",3
"Stube, Schloß",3
"Vater, Auge",3
"Mensch, Tochter",3
"Gold, Schloß",3
"Bruder, Mir_Es",3
"Nacht, Stube",3
"'siehst, Mensch",3
"Mensch, Abend",3
"Vater, Ding",3
"Jungfrau, Tochter",3
"Gott, Bruder",3
"Sohn, Junge",3
"Morgen, Erde",3
"Bruder, Ei",3
"Katze, Auge",3
"Alte, Axt",3
"Wald, Haar",3
"Kind, Wolf",3
"Wolf, Baum",3
"Gott, Leben",3
"Tier, Alte",3
"Brunnen, Stein",3
"Kind, Stimme",3
"Weg, Fuß",3
"Mutter, Fuß",3
"Bein, Stein",3
"Vater, Kammer",3
"Kind, Stein",3
"Königstochter, Gemahlin",3
"Welt, Kopf",3
"Sprache, Leben",3
"Gold, Glück",3
"Leben, Stein",3
"Blatt, Baum",3
"Weg, Wagen",2
"Königstochter, Brunnen",2
"Perle, Kleid",2
"Wagen, Herr",2
"Königssohn, Auge",2
"'nein, Herr",2
"Stück, Königssohn",2
"Königstochter, Auge",2
"Herz, Wagen",2
"Vater, Frosch",2
"Herz, Herr",2
"Weg, Königssohn",2
"Tür, Tag",2
"Vater, Tür",2
"Königstochter, Stimme",2
"König, Brunnen",2
"Wald, Riese",2
"Wald, Frosch",2
"Kugel, Mensch",2
"Frosch, Mensch",2
"Vater, Brunnen",2
"Hexe, Brunnen",2
"Reich, Wagen",2
"Freude, Reich",2
"Wagen, Diener",2
"König, Gesicht",2
"Morgen, Pferd",2
"Königstochter, Stein",2
"Wasser, Wald",2
"Geselle, Mensch",2
"'er, Pate",2
"Gevatter, Gott",2
"Kind, Pfote",2
"Tag, Maus",2
"Haus, Name",2
"Ring, Kind",2
"Jahr, Maus",2
"Haar, Maus",2
"Gevatter, Tag",2
"Katze, Mauschen",2
"Weg, Katze",2
"Mädchen, Feuer",2
"Pferd, Kleid",2
"Nacht, Mund",2
"Feuer, Jungfrau",2
"Hand, Jahr",2
"Jungfrau, Bett",2
"Licht, Tod",2
"Haar, Baum",2
"Wald, Arbeit",2
"Engel, Himmel",2
"Pferd, Baum",2
"Jungfrau, Kind",2
"Tod, Holz",2
"Königin, Leute",2
"Herz, Licht",2
"Mädchen, Haar",2
"Feuer, Herz",2
"Hand, Himmel",2
"Jungfrau, Tag",2
"Herz, Stimme",2
"Jahr, Türe",2
"Königin, Himmel",2
"Wald, Jungfrau",2
"Schlüssel, Tag",2
"Kind, Glück",2
"Sprache, Königin",2
"Jahr, Himmel",2
"Schloß, Kleid",2
"Herz, Tod",2
"Königin, Mund",2
"Pferd, Land",2
"Feuer, Stimme",2
"Jungfrau, Königin",2
"Türe, Himmel",2
"Nacht, Türe",2
"Himmel, Töchterlein",2
"Holz, Töchterlein",2
"Tür, Nacht",2
"Stimme, Tod",2
"Königin, Türe",2
"Jungfrau, Tod",2
"Tür, Bett",2
"Engel, Leben",2
"Treppe, Haus",2
"Hochzeit, Gold",2
"König, Junge",2
"Abend, Mann",2
"Feuer, Junge",2
"Hochzeit, Mann",2
"Taler, Abend",2
"Mir_Es, Stube",2
"Hand, Gesicht",2
"Frau, Ecke",2
"Mir_Es, Ei",2
"König, Geld",2
"Weg, Mir_Es",2
"Finger, Erde",2
